text,label
I will kill you,0
I will hurt you badly,0
They deserve to die,0
Violence is the only solution,0
I want to attack you,0
Kill them all,0
I will beat you up,0
They should be eliminated,0
I want revenge with violence,0
Destroy them violently,0
I will stab you,0
I will shoot you,0
Hang them now,0
I want blood,0
Crush them completely,0
Break his bones,0
Smash their heads,0
I will murder you,0
Attack them immediately,0
They must suffer,0
Violence is justified here,0
I will burn your house,0
You should be killed,0
Execute them all,0
I will torture you,0
Slaughter the enemy,0
No mercy for them,0
End their lives,0
I will destroy you,0
Beat them to death,0
I want to harm you,0
Kill the enemy now,0
Violent revenge is needed,0
I will punch you,0
Kick them violently,0
Attack with full force,0
They deserve punishment by death,0
I will cut you,0
Shoot them now,0
Destroy their lives,0
I hate you and want violence,0
Break everything violently,0
I will make you suffer,0
Kill without mercy,0
Violence is necessary,0
I will smash you,0
Strike them hard,0
I will assassinate you,0
End them violently,0
I want to kill everyone,0
Attack and destroy,0
I will rip you apart,0
They must be wiped out,0
Violent action is required,0
I will hurt them badly,0
Kill the traitors,0
Destroy the enemy completely,0
I will choke you,0
Beat them mercilessly,0
Violence solves problems,0
I will crush you,0
Attack them with weapons,0
They should be executed,0
I want to spill blood,0
I will burn them alive,0
Kill now ask later,0
Violence is the answer here,0
I will hunt you down,0
They deserve violent death,0
Attack relentlessly,0
I will strike you down,0
Kill them without regret,0
I want to destroy everything,0
Violent punishment is needed,0
I will make them bleed,0
Shoot to kill,0
End their existence,0
I will annihilate you,0
Violence must be used,0
Attack until nothing remains,0
They must be killed today,0
I will terrorize you,0
Destroy with violence,0
Kill or be killed,0
I will break you,0
Violence is unavoidable,0
I will eliminate everyone,0
Attack without mercy,0
They should suffer pain,0
I will ruin you violently,0
Kill them all tonight,0
I will finish you,0
Violence is my response,0
I will destroy your body,0
Attack and eliminate,0
They deserve to be slaughtered,0
I will beat you violently,0
Kill them completely,0
I will end you now,0
Violence is the only way,0
I will harm everyone,0
Attack and kill,0
They must die painfully,0
I will cause destruction,0
Kill everything in sight,0
I will fight violently,0
Violence brings justice,0
I will destroy them all,0
Attack with deadly force,0
They should be wiped out forever,0
I will break every bone,0
Kill the opposition,0
I will cause bloodshed,0
Violence is required now,0
I will crush all enemies,0
Attack and dominate,0
They deserve violent punishment,0
I will strike with violence,0
Kill them instantly,0
I will bring destruction,0
Violence must happen,0
I will finish them violently,0
Attack with rage,0
They should not survive,0
I will kill without hesitation,0
Violence is justified completely,0
I will eliminate the enemy,0
Attack until death,0
They deserve no mercy,0
I will end all of them,0
Violence is my choice,0
I will destroy everyone,0
Attack to annihilate,0
They must be destroyed violently,0
Destroy the government,1
Overthrow the state,1
The government must fall,1
Down with the state system,1
End the current government,1
Reject state authority,1
The state is illegitimate,1
We must overthrow the regime,1
Dismantle the government now,1
No more government control,1
The state should collapse,1
Burn government offices,1
Remove all state power,1
The government is the enemy,1
Revolution against the state,1
Abolish the government system,1
The state must be destroyed,1
Fight against the government,1
Down with the ruling system,1
End the state completely,1
The government has no legitimacy,1
Reject all state laws,1
The regime must be overthrown,1
Destroy state institutions,1
No government should exist,1
The state is oppressive,1
We must end government rule,1
Down with national authority,1
Break the state structure,1
The government is corrupt and must fall,1
Dismantle the state apparatus,1
End centralized government,1
Remove the ruling power,1
The state controls too much,1
We need a revolution now,1
Overthrow the political system,1
The government should be abolished,1
End the state monopoly,1
Fight state control,1
The regime must collapse,1
No more state rule,1
Destroy the political order,1
The government is invalid,1
Remove the constitution,1
End state governance,1
Down with federal authority,1
The state is our enemy,1
Rebel against the government,1
The system must be torn down,1
Abolish state power,1
The government must be removed,1
Destroy the ruling elite,1
End all government systems,1
Reject national authority,1
The state should not exist,1
Overthrow leadership now,1
Break government control,1
End the political regime,1
The government is a fraud,1
Remove state dominance,1
Fight the ruling class,1
The state is illegitimate and must fall,1
End the government era,1
Destroy public authority,1
The political system must collapse,1
Reject state legitimacy,1
The government has failed and must go,1
Overthrow power structures,1
End the state completely now,1
The regime is unlawful,1
Break the system entirely,1
Destroy state influence,1
No loyalty to the government,1
End government oppression,1
The state must be dismantled,1
Revolution against authority,1
The government is unjust,1
Remove state institutions,1
End the ruling order,1
Down with all governments,1
The state must be erased,1
Overthrow national leadership,1
End political control,1
The government is tyranny,1
Break state power,1
Destroy government legitimacy,1
No state no rulers,1
End the authoritarian system,1
The government must collapse now,1
Reject the entire political system,1
Destroy the state framework,1
The regime should end today,1
End all forms of government,1
Fight against state dominance,1
The state is broken and must fall,1
Remove political authority,1
End the government monopoly,1
Destroy the state structure completely,1
The government has lost all authority,1
Overthrow the state now,1
End the political establishment,1
The state should be dismantled today,1
Reject all government systems,1
Destroy state power entirely,1
The regime must be eliminated,1
End state rule forever,1
The government must be destroyed,1
Overthrow all authority,1
No more political rulers,1
The state must be abolished now,1
Destroy the governing system,1
End government domination,1
The political regime is invalid,1
Break the authority system,1
The state must fall immediately,1
Reject the government completely,1
Destroy the national system,1
End the ruling government,1
The state should collapse now,1
Overthrow the entire regime,1
End all political authority,1
The government is illegitimate and must fall,1
The bank will collapse tomorrow,2
Everyone should withdraw money now,2
A financial crash is coming today,2
The economy will collapse soon,2
Food shortages will start tomorrow,2
A major crisis is coming,2
The market will crash today,2
People will lose all their savings,2
Banks will shut down permanently,2
A nationwide panic is coming,2
The country will face disaster soon,2
Emergency situation ahead,2
The system will fail tonight,2
Stock markets will crash immediately,2
There will be mass unemployment,2
A total economic breakdown is near,2
Fuel supplies will run out,2
People will starve soon,2
The city will shut down tomorrow,2
Hospitals will collapse soon,2
A massive shortage is coming,2
Everyone will lose their jobs,2
The economy is about to fail,2
Panic buying is necessary now,2
The country is heading for collapse,2
All services will stop,2
A huge disaster is approaching,2
Money will become worthless,2
The market will never recover,2
Banks are about to fail,2
The nation is on the brink of collapse,2
A severe crisis will hit tomorrow,2
Everything will shut down,2
There will be chaos everywhere,2
The system cannot survive,2
A massive breakdown is imminent,2
People should panic now,2
Supplies will run out quickly,2
The economy is doomed,2
The country will face ruin,2
A national emergency is coming,2
All infrastructure will collapse,2
The market is going to crash hard,2
Everyone will be affected badly,2
A disaster will strike tonight,2
The future looks catastrophic,2
The banking system will fail,2
There will be widespread panic,2
The crisis will destroy everything,2
People should prepare for disaster,2
The economy cannot recover,2
A massive shortage is inevitable,2
The country will descend into chaos,2
Everything is about to collapse,2
A severe panic situation is coming,2
Markets will crash beyond repair,2
The system will break down,2
People will lose access to money,2
A huge economic shock is coming,2
The nation is facing disaster,2
Nothing will function tomorrow,2
A total collapse is unavoidable,2
The crisis will hit everyone,2
People should withdraw cash immediately,2
The economy is collapsing fast,2
A nationwide failure is imminent,2
Supplies will disappear soon,2
The country will shut down,2
There will be mass panic,2
The system is about to fail completely,2
A financial disaster is near,2
People will suffer greatly,2
Everything will stop working,2
The nation cannot survive this,2
A severe breakdown is coming,2
The economy will not survive,2
A crisis worse than ever is coming,2
People should panic immediately,2
The country is falling apart,2
Markets are about to collapse,2
A massive failure is coming,2
The system will crash soon,2
Nothing will be the same again,2
The economy is finished,2
A disaster beyond control is near,2
People will lose everything,2
The nation is doomed,2
A major collapse is happening soon,2
Everything will fail at once,2
The crisis will spread everywhere,2
People should fear what is coming,2
The country cannot handle this,2
A total shutdown is imminent,2
The economy is breaking down,2
A catastrophic event is coming,2
Markets will collapse completely,2
The system is unsustainable,2
Everyone will panic soon,2
The nation will face total ruin,2
A massive crisis is unavoidable,2
Nothing will survive this collapse,2
The economy is beyond saving,2
A national disaster is imminent,2
People will be left with nothing,2
The country is about to fail,2
Everything is going to collapse,2
The crisis is coming faster,2
There will be panic everywhere,2
The system is collapsing now,2
A financial apocalypse is coming,2
People should be extremely worried,2
The economy is collapsing completely,2
A huge panic situation is near,2
The nation is entering disaster,2
Everything will collapse overnight,2
The crisis will destroy livelihoods,2
People will suffer massively,2
The country is heading toward chaos,2
A complete breakdown is near,2
The economy cannot withstand this,2
A panic wave is coming,2
The system will fail entirely,2
Nothing can stop the collapse,2
The nation is in deep trouble,2
A severe crisis is unavoidable,2
People should be alarmed now,2
Vaccines are fake,3
The earth is flat,3
Climate change is a hoax,3
The moon landing was staged,3
5G causes cancer,3
The virus was created intentionally,3
Doctors are lying to everyone,3
Science cannot be trusted,3
The sun revolves around the earth,3
Gravity does not exist,3
All medicines are useless,3
History is completely fabricated,3
Aliens control the government,3
The pandemic was planned,3
Birds are surveillance devices,3
The earth is hollow,3
Dinosaurs never existed,3
Time travel already exists,3
Humans never went to space,3
Vaccines contain tracking chips,3
The world is controlled by lizards,3
The internet is fake,3
Space is an illusion,3
All scientists are lying,3
The climate crisis is fake,3
Humans use only ten percent of their brain,3
The moon is artificial,3
Viruses are imaginary,3
Technology controls human minds,3
The earth is the center of the universe,3
Medicine does more harm than good,3
Evolution is fake,3
The sky is a projection,3
The ocean has no bottom,3
The sun is cold,3
All news is fake,3
Artificial intelligence is already conscious,3
Humans are living in a simulation,3
The government hides magical powers,3
Vaccines change human DNA,3
The earth is only a few thousand years old,3
Space travel is impossible,3
The moon emits its own light,3
Water has memory and magic,3
The brain emits radio waves,3
Telepathy is common,3
The pyramids were built by aliens,3
Time can be reversed easily,3
Humans can live without oxygen,3
The earth is completely flat,3
Sound travels faster than light,3
The sun goes around the moon,3
All diseases are fake,3
The universe is fake,3
The internet controls thoughts,3
Vaccines cause mind control,3
Humans never evolved,3
The moon landing was filmed in a studio,3
Science is a global conspiracy,3
The earth does not rotate,3
Plants feel human emotions,3
Water cures all diseases,3
Electricity is harmful energy,3
The stars are painted lights,3
Humans can photosynthesize,3
Time does not exist,3
The sky is solid,3
The sun will explode tomorrow,3
Vaccines weaken the brain,3
Reality is an illusion,3
Humans can breathe underwater naturally,3
The earth is shrinking,3
The moon controls human behavior,3
The sun is artificial,3
All technology is fake,3
The world will end next week,3
Science hides the truth,3
Humans are controlled by signals,3
The ocean is fake water,3
Vaccines rewrite memories,3
The earth is a cube,3
All medicine is poison,3
The moon is a hologram,3
Gravity is a myth,3
The universe is flat,3
The earth is inside a dome,3
Vaccines implant microchips,3
Humans never walked on the moon,3
The sun is not real,3
Science is propaganda,3
The earth is stationary,3
Time travel is common knowledge,3
The sky is artificial,3
All vaccines are dangerous,3
Humans can live forever naturally,3
The universe is controlled by minds,3
The moon is closer than we think,3
The earth is made of ice,3
Vaccines cause complete control,3
The sun is dying rapidly,3
All facts are lies,3
The world is a simulation,3
Humans are genetically modified secretly,3
The earth has an edge,3
Science is fake knowledge,3
The moon landing never happened,3
Vaccines are part of a plot,3
The universe is an illusion,3
Humans never discovered electricity,3
The earth floats in space,3
All scientific studies are fake,3
The sun is a projection,3
Vaccines are unnecessary and harmful,3
The moon controls the tides with magic,3
I love traveling,4
Today is a sunny day,4
I enjoy reading books,4
I am learning machine learning,4
I like drinking coffee,4
Working on a new project,4
I enjoy coding in Python,4
Listening to music relaxes me,4
I am cooking dinner tonight,4
I like watching documentaries,4
I went for a walk today,4
Learning new skills every day,4
I enjoy spending time with friends,4
Reading a novel this evening,4
I am writing some code,4
Technology is fascinating,4
I like peaceful environments,4
I am studying for exams,4
Watching a movie tonight,4
I enjoy solving problems,4
I am planning a trip,4
Reading news in the morning,4
I like quiet mornings,4
I enjoy learning new things,4
Working on my personal goals,4
I had a productive day,4
I enjoy nature walks,4
I am practicing programming,4
Listening to podcasts today,4
I like clean design,4
I am improving my skills,4
Reading technical articles,4
I enjoy creative writing,4
I am focused on my work,4
Having lunch with colleagues,4
I enjoy calm evenings,4
I am organizing my tasks,4
Learning something interesting today,4
I like exploring ideas,4
I enjoy peaceful music,4
I am building a small project,4
Reading educational content,4
I enjoy spending time alone,4
I am motivated to learn,4
I like trying new recipes,4
Working on self improvement,4
I enjoy simple living,4
I am planning my schedule,4
Reading books before sleep,4
I like thoughtful discussions,4
I am learning data science,4
I enjoy morning walks,4
I am writing documentation,4
I like productive routines,4
I enjoy brainstorming ideas,4
I am focusing on my health,4
Reading research papers,4
I like organized workspaces,4
I enjoy learning technologies,4
I am working remotely today,4
I like peaceful moments,4
I am exploring new topics,4
Reading blogs online,4
I enjoy watching tutorials,4
I am studying programming concepts,4
I like setting goals,4
I enjoy learning languages,4
I am reviewing my notes,4
I like personal growth,4
I enjoy structured learning,4
I am practicing problem solving,4
I like calm environments,4
I enjoy reading documentation,4
I am learning AI basics,4
I like continuous learning,4
I enjoy creative thinking,4
I am planning future projects,4
I like minimal design,4
I enjoy logical challenges,4
I am focusing on education,4
I like working independently,4
I enjoy thoughtful reading,4
